weeks (year 1),weeks (year 2),weeks (year 3),weeks (year 4),weeks (year 5),weeks (year 6),weeks (year 7),weeks (year 8),weeks (year 9),weeks (year 10),weeks (year 11),weeks (year 12),weeks (year 13),weeks (year 14)
1,53,105,157,209,261,313,365,417,469,521,573,625,677
2,54,106,158,210,262,314,366,418,470,522,574,626,678
3,55,107,159,211,263,315,367,419,471,523,575,627,679
4,56,108,160,212,264,316,368,420,472,524,576,628,680
5,57,109,161,213,265,317,369,421,473,525,577,629,681
6,58,110,162,214,266,318,370,422,474,526,578,630,682
7,59,111,163,215,267,319,371,423,475,527,579,631,683
8,60,112,164,216,268,320,372,424,476,528,580,632,684
9,61,113,165,217,269,321,373,425,477,529,581,633,685
10,62,114,166,218,270,322,374,426,478,530,582,634,686
11,63,115,167,219,271,323,375,427,479,531,583,635,687
12,64,116,168,220,272,324,376,428,480,532,584,636,688
13,65,117,169,221,273,325,377,429,481,533,585,637,689
14,66,118,170,222,274,326,378,430,482,534,586,638,690
15,67,119,171,223,275,327,379,431,483,535,587,639,691
16,68,120,172,224,276,328,380,432,484,536,588,640,692
17,69,121,173,225,277,329,381,433,485,537,589,641,693
18,70,122,174,226,278,330,382,434,486,538,590,642,694
19,71,123,175,227,279,331,383,435,487,539,591,643,695
20,72,124,176,228,280,332,384,436,488,540,592,644,696
21,73,125,177,229,281,333,385,437,489,541,593,645,697
22,74,126,178,230,282,334,386,438,490,542,594,646,698
23,75,127,179,231,283,335,387,439,491,543,595,647,699
24,76,128,180,232,284,336,388,440,492,544,596,648,700
25,77,129,181,233,285,337,389,441,493,545,597,649,701
26,78,130,182,234,286,338,390,442,494,546,598,650,702
27,79,131,183,235,287,339,391,443,495,547,599,651,703
28,80,132,184,236,288,340,392,444,496,548,600,652,704
29,81,133,185,237,289,341,393,445,497,549,601,653,705
30,82,134,186,238,290,342,394,446,498,550,602,654,706
31,83,135,187,239,291,343,395,447,499,551,603,655,707
32,84,136,188,240,292,344,396,448,500,552,604,656,708
33,85,137,189,241,293,345,397,449,501,553,605,657,709
34,86,138,190,242,294,346,398,450,502,554,606,658,710
35,87,139,191,243,295,347,399,451,503,555,607,659,711
36,88,140,192,244,296,348,400,452,504,556,608,660,712
37,89,141,193,245,297,349,401,453,505,557,609,661,713
38,90,142,194,246,298,350,402,454,506,558,610,662,714
39,91,143,195,247,299,351,403,455,507,559,611,663,715
40,92,144,196,248,300,352,404,456,508,560,612,664,716
41,93,145,197,249,301,353,405,457,509,561,613,665,717
42,94,146,198,250,302,354,406,458,510,562,614,666,718
43,95,147,199,251,303,355,407,459,511,563,615,667,719
44,96,148,200,252,304,356,408,460,512,564,616,668,720
45,97,149,201,253,305,357,409,461,513,565,617,669,721
46,98,150,202,254,306,358,410,462,514,566,618,670,722
47,99,151,203,255,307,359,411,463,515,567,619,671,723
48,100,152,204,256,308,360,412,464,516,568,620,672,724
49,101,153,205,257,309,361,413,465,517,569,621,673,725
50,102,154,206,258,310,362,414,466,518,570,622,674,726
51,103,155,207,259,311,363,415,467,519,571,623,675,727
52,104,156,208,260,312,364,416,468,520,572,624,676,728
